@relation features-weka.filters.unsupervised.attribute.Remove-R1

@attribute followers_count numeric
@attribute following_count numeric
@attribute bio_pronouns_count numeric
@attribute bio_NNP_tags numeric
@attribute bio_PRP_tags numeric
@attribute bio_Yes_freq_terms numeric
@attribute bio_No_freq_terms numeric
@attribute bio_auto_Yes_freq_terms numeric
@attribute name_auto_Yes_freq_terms numeric
@attribute bio_auto_No_freq_terms numeric
@attribute name_auto_No_freq_terms numeric
@attribute class {yes,no}

@data
388,1909,5,3,5,2,0,17,1,0,0,?
388,1911,0,8,0,0,0,3,0,1,0,?
390,405,0,13,0,0,0,2,1,0,0,?
387,305,2,6,1,0,0,11,0,0,0,?
387,0,4,1,1,2,0,13,0,0,0,?
387,951,1,9,0,0,0,8,0,0,0,?
386,392,0,0,0,1,1,4,0,0,0,?
385,171,0,5,0,0,0,2,0,0,0,?
384,919,2,11,1,0,0,8,0,0,0,?
384,958,0,18,0,0,0,11,0,2,0,?
383,461,0,5,0,0,0,1,0,1,0,?
382,736,1,16,1,1,0,14,0,0,0,?
382,565,2,9,0,2,0,10,0,0,0,?
382,1056,5,3,2,2,0,20,0,3,0,?
381,330,2,6,1,0,0,11,0,0,0,?
381,759,0,5,0,0,0,4,0,1,0,?
412,538,0,5,0,1,0,11,0,0,0,?
378,787,0,8,0,0,0,5,0,0,0,?
378,823,4,2,3,1,0,15,0,2,0,?
384,123,2,1,2,0,0,16,0,1,0,?
403,451,0,18,0,0,0,9,0,5,0,?
377,296,2,7,1,0,0,11,0,0,0,?
376,1533,2,1,1,0,0,6,0,1,0,?
376,323,4,9,1,1,0,11,0,2,0,?
376,1251,0,3,0,0,0,5,1,0,0,?
375,296,0,1,0,1,0,9,0,2,0,?
375,283,2,6,1,0,0,11,0,0,0,?
375,295,0,6,0,1,0,8,0,0,0,?
375,78,0,15,0,1,0,12,0,1,0,?
372,299,2,6,1,0,0,11,0,0,0,?
373,465,2,3,2,1,0,16,0,0,0,?
372,526,0,3,1,0,0,8,0,0,0,?
371,301,2,6,1,0,0,11,0,0,0,?
371,1984,3,2,1,0,0,10,0,2,0,?
371,711,0,9,0,1,0,7,2,0,0,?
370,240,0,9,0,0,0,6,0,1,0,?
370,243,0,0,0,0,0,0,0,0,0,?
368,302,2,7,1,0,0,11,0,0,0,?
369,719,0,3,0,0,0,3,2,0,0,?
369,997,0,3,0,0,0,3,0,0,0,?
368,1183,0,2,0,0,0,2,0,0,0,?
368,54,0,27,0,0,0,8,0,0,0,?
368,1897,2,4,2,0,1,14,0,0,0,?
367,701,0,4,0,0,0,2,0,1,0,?
367,52,2,6,1,1,0,6,0,1,0,?
371,1532,0,6,0,0,0,6,0,0,0,?
366,710,2,0,1,0,0,11,0,1,0,?
366,397,0,11,0,0,0,5,0,0,0,?
366,507,2,5,1,1,0,6,0,0,0,?
366,448,1,15,0,0,0,8,0,1,1,?
371,367,0,0,0,0,0,0,0,0,0,?
365,101,0,10,0,0,0,16,0,3,0,?
365,562,0,1,0,0,0,1,0,0,0,?
364,1568,1,9,0,1,0,8,2,1,1,?
391,279,0,3,0,1,1,7,0,0,0,?
363,1147,3,9,0,2,0,19,0,0,0,?
363,1218,1,3,0,0,0,11,0,1,0,?
373,906,0,1,0,3,0,9,0,1,0,?
